Recipe,Name,Amount,Unit
Pandekager,Hvedemel ca. 2½ dl,150,g
Pandekager,Vaniljesukker,1,spsk
Pandekager,Stødt kardemomme,1,5,½tsk
Pandekager,Groft salt,0,5,½tsk
Pandekager,Citronskal usprøjtet - skal herfra,1,stk
Pandekager,Mælk,4,dl
Pandekager,Smør,50,g
Pandekager,Æg,3,stk
Kartoffelsalat,Ymer eller tykmælk,2,5,½dl
Kartoffelsalat,Creme fraiche,2,5,½dl
Kartoffelsalat,Hakket frisk kruspersille,3,spsk
Kartoffelsalat,Klippet frisk purløg,2,spsk
Kartoffelsalat,Revet skalotteløg,2,spsk
Kartoffelsalat,Sød fransk sennep,2,tsk
Kartoffelsalat,Friskpresset citronsaft,1,tsk
Kartoffelsalat,Groft salt,2,tsk
Kartoffelsalat,Friskkværnet hvid peber,0,stk
Kartoffelsalat,Små kogte faste kartofler,750,g
Kartoffelsalat,Brøndkarse,0,stk
Hyldeblomstsaft,Vand,2,liter
Hyldeblomstsaft,Sukker,1,5,½kg
Hyldeblomstsaft,Hyldeblomstskærme,50,stk
Hyldeblomstsaft,Citroner usprøjtede,4,stk
Hyldeblomstsaft,Citronsyre,4,tsk
Grøn kartoffelsalat,Fintsnittet purløg,1,dl
Grøn kartoffelsalat,Hakket persille,1,dl
Grøn kartoffelsalat,Hakket frisk dild,0,5,½dl
Grøn kartoffelsalat,Hakkede estragonblade,0,5,½dl
Grøn kartoffelsalat,Olivenolie,3,spsk
Grøn kartoffelsalat,Groft salt,1,tsk
Grøn kartoffelsalat,Friskkværnet peber,0,stk
Grøn kartoffelsalat,Kogte skrabede små nye kartofler,1,kg
Grøn kartoffelsalat,Salatost i tern,200,g
Grøn kartoffelsalat,Sorte oliven,50,g
Grøn kartoffelsalat,Syltede rødløg,1,spsk
Koldskål,Æggeblommer ca. 2 spsk,2,stk
Koldskål,Sukker,3,spsk
Koldskål,Vaniljestang - kornene heraf,0,5,½
Koldskål,Friskpresset citronsaft,2,spsk
Koldskål,Kærnemælk,0,5,½liter
Koldskål,Tykmælk,0,5,½liter
Koldskål,Kammerjunkere,0,stk
Banankage,Æg,3,stk
Banankage,Sukker ca. 2 dl,170,g
Banankage,Vaniljesukker,2,tsk
Banankage,Hvedemel ca. 2 dl,125,g
Banankage,Bagepulver,1,tsk
Banankage,Smør - smeltet og afkølet,100,g
Banankage,Mosede bananer ca. 1½ dl,2,stk
Banankage,Smeltet mørk chokolade,100,g
Banankage,Valnøddekerner,50,Evt.g
Nem chokoladekage i bradepande,Sukker ca. 4 dl,350,g
Nem chokoladekage i bradepande,Hvedemel ca. 3 dl,175,g
Nem chokoladekage i bradepande,Kakaopulver,4,spsk
Nem chokoladekage i bradepande,Vaniljesukker,1,spsk
Nem chokoladekage i bradepande,Bagepulver,1,spsk
Nem chokoladekage i bradepande,Smør - smeltet,250,g
Nem chokoladekage i bradepande,Æg,3,stk
Nem chokoladekage i bradepande,Kogende vand,2,dl
Nem chokoladekage i bradepande,Flormelis ca. 4 dl,200,g
Nem chokoladekage i bradepande,Vand,3,spsk
Nem chokoladekage i bradepande,Evt. kulørt krymmel og/eller spiseligt glimmer,0,stk
Cookies,Blødt smør,150,g
Cookies,Sukker ca. 1½ dl,125,g
Cookies,Brun farin ca. 1½ dl,125,g
Cookies,Vaniljesukker,2,tsk
Cookies,Æg,1,stk
Cookies,Hvedemel ca. 4½ dl,250,g
Cookies,Natron,1,tsk
Cookies,Groft salt,0,75,¾tsk
Cookies,Bagepulver,0,5,½tsk
Cookies,Grofthakket mørk chokolade eller chokoladeknapper,200,g
Snobrød,Smør,25,g
Snobrød,Mælk eller syrnet produkt fx tykmælk,0,25,¼liter
Snobrød,Gær,25,g
Snobrød,Sukker,2,tsk
Snobrød,Groft salt,0,75,¾tsk
Snobrød,Hvedemel ca. 6¾ dl,400,g
Snobrød,Wienerpølser ketchup og sennep - eller syltetøj og sukker,0,stk
Drømmekage fra Brovst,Æg,4,stk
Drømmekage fra Brovst,Sukker ca. 3½ dl,300,g
Drømmekage fra Brovst,Mælk,2,dl
Drømmekage fra Brovst,Smør,50,g
Drømmekage fra Brovst,Hvedemel ca. 4¼ dl,250,g
Drømmekage fra Brovst,Bagepulver,3,tsk
Drømmekage fra Brovst,Vaniljesukker,1,tsk
Drømmekage fra Brovst,Smør,100,g
Drømmekage fra Brovst,Kokosmel ca. 4¼ dl,150,g
Drømmekage fra Brovst,Brun farin ca. 3¾ dl,225,g
Drømmekage fra Brovst,Mælk,0,5,½dl
Kylling i karry,Smør,25,g
Kylling i karry,Karry,2,tsk
Kylling i karry,Finthakkede løg,3,stk
Kylling i karry,Kyllingeinderfileter,300,g
Kylling i karry,Grøntsager i mindre stykker fx blomkål gulerødder og forårsløg,400,g
Kylling i karry,Hvedemel,2,spsk
Kylling i karry,Grøntsagsbouillon,2,5,½dl
Kylling i karry,Mælk,2,dl
Kylling i karry,Groft salt,1,5,½tsk
Kylling i karry,Friskkværnet peber,0,stk
Kylling i karry,Æbler i tern fx elstar,2,stk
Kylling i karry,Kogte løse ris parboiled,0,stk
Focaccia brød,Gær,25,g
Focaccia brød,Vand - lillefingervarmt,5,dl
Focaccia brød,Sukker,1,tsk
Focaccia brød,Groft salt,1,spsk
Focaccia brød,Olivenolie,3,spsk
Focaccia brød,Hvedemel,675,g
Focaccia brød,Olivenolie til bradepanden,5,spsk
Focaccia brød,Olivenolie,0,5,½dl
Focaccia brød,Plukkede rosmarinkviste,1,dl
Focaccia brød,Flagesalt,0,stk
Pølsehorn,Smør,25,g
Pølsehorn,Mælk,0,25,¼liter
Pølsehorn,Gær,25,g
Pølsehorn,Sukker,2,tsk
Pølsehorn,Groft salt,0,75,¾tsk
Pølsehorn,Hvedemel ca. 7 dl,400,g
Pølsehorn,Wienerpølser af god kvalitet,6,stk
Pølsehorn,Evt. sesamfrø,0,stk
Svensk pølseret,Kogte kartofler,800,g
Svensk pølseret,Wienerpølser,8,stk
Svensk pølseret,Løg,1,stk
Svensk pølseret,Smør,10,g
Svensk pølseret,Mild paprika,3,tsk
Svensk pølseret,Koncentreret tomatpuré 70 g,1,dåse
Svensk pølseret,Mælk,2,dl
Svensk pølseret,Piskefløde,0,5,½dl
Svensk pølseret,Groft salt,0,5,½tsk
Svensk pølseret,Friskkværnet peber,0,stk
Svensk pølseret,Klippet purløg,0,stk
Pizzasnegle med skinke,Gær,50,g
Pizzasnegle med skinke,Vand lillefingervarmt,3,dl
Pizzasnegle med skinke,Groft salt,1,tsk
Pizzasnegle med skinke,Rapsolie,2,spsk
Pizzasnegle med skinke,Pizzamel,500,g
Pizzasnegle med skinke,Koncentreret tomatpuré ca. 70 g,1,dåse
Pizzasnegle med skinke,Groft salt,0,25,¼tsk
Pizzasnegle med skinke,Friskkværnet peber,0,stk
Pizzasnegle med skinke,Finthakket kogt røget skinke,100,g
Pizzasnegle med skinke,Røde peberfrugter i meget små tern,2,stk
Pizzasnegle med skinke,Finthakket løg,1,stk
Pizzasnegle med skinke,Revet mozzarellaost,100,g
Rabarberkage,Rabarber i små stykker,500,g
Rabarberkage,Sukker,3,spsk
Rabarberkage,Sukker ca. 4 dl,350,g
Rabarberkage,Blødt smør,200,g
Rabarberkage,Æg,4,stk
Rabarberkage,Hvedemel ca. 7½ dl,500,g
Rabarberkage,Bagepulver,2,tsk
Rabarberkage,Vaniljesukker,2,tsk
Rabarberkage,Mælk,2,dl
Rabarberkage,Knuste kardemommefrø,0,stk
Rabarberkage,Flormelis,2,spsk
Rabarberkage,Piskefløde - pisket til skum,0,25,¼liter
Hytteost-dip,Krydderurter fx persille og purløg,0,5,½dl
Hytteost-dip,Hytteost,200,g
Hytteost-dip,Lille fed hvidløg,0,5,½
Hytteost-dip,Groft salt,0,5,½tsk
Persillesovs,Hvedemel,2,5,½spsk
Persillesovs,Madlavningsfløde,2,5,½dl
Persillesovs,Grøntsagsbouillon,2,5,½dl
Persillesovs,Smør,10,g
Persillesovs,Hakket kruspersille,1,5,½dl
Persillesovs,Groft salt,0,5,½tsk
Persillesovs,Friskkværnet peber,0,stk
Fødselsdagsboller,Smør,150,g
Fødselsdagsboller,Mælk,3,dl
Fødselsdagsboller,Gær,25,g
Fødselsdagsboller,Sukker,3,spsk
Fødselsdagsboller,Groft salt,1,tsk
Fødselsdagsboller,Hvedemel,500,g
Fødselsdagsboller,Æg,0,stk
Koldskål - laktosefri,Æggeblommer,2,stk
Koldskål - laktosefri,Sukker,4,spsk
Koldskål - laktosefri,Vaniljesukker,1,tsk
Koldskål - laktosefri,Fintrevet citronskal usprøjtet,2,tsk
Koldskål - laktosefri,Friskpresset citronsaft,2,tsk
Koldskål - laktosefri,Laktosefri kefir,1,liter
Koldskål - laktosefri,Hindbær,125,g
Koldskål - laktosefri,Ristede hel boghvede,1,dl
Koldskål - laktosefri,Spiselige blomster fx hornvioler,4,Evt.
Jordbærtærte,Koldt smør,100,g
Jordbærtærte,Hvedemel ca. 2½ dl,175,g
Jordbærtærte,Flormelis,2,spsk
Jordbærtærte,Æggeblomme,1,stk
Jordbærtærte,Smør,100,g
Jordbærtærte,Sukker ca. 1¼ dl,100,g
Jordbærtærte,Marcipan,75,g
Jordbærtærte,Æg,2,stk
Jordbærtærte,Hvedemel ca. ¾ dl,35,g
Jordbærtærte,Finthakket mørk chokolade,50,g
Jordbærtærte,Mælk,2,dl
Jordbærtærte,Æg,1,stk
Jordbærtærte,Sukker,2,spsk
Jordbærtærte,Hvedemel eller majsstivelse,1,spsk
Jordbærtærte,Vaniljestang - kornene heraf,1,stk
Jordbærtærte,Piskefløde,1,5,½dl
Jordbærtærte,Husblas,1,blad
Jordbærtærte,Koncentreret jordbærsaft,0,25,¼dl
Jordbærtærte,Jordbær i skiver,300,g
Jordbærkage,Æg,3,stk
Jordbærkage,Sukker ca. 2 dl,175,g
Jordbærkage,Groft salt,0,25,¼tsk
Jordbærkage,Finthakkede mandler,175,g
Jordbærkage,Vaniljestang,1,stk
Jordbærkage,Flormelis,1,5,½spsk
Jordbærkage,Creme fraiche 38%,1,dl
Jordbærkage,Piskefløde,0,25,¼liter
Jordbærkage,Rensede jordbær i kvarte,250,g
Jordbærkage,Mynteblade,0,stk
Broccolisalat,Fraiche,2,5,½dl
Broccolisalat,Rødvinseddike,2,tsk
Broccolisalat,Sukker,1,5,½spsk
Broccolisalat,Bacon i meget små tern,300,g
Broccolisalat,Broccoli i meget små buketter og tern,800,g
Broccolisalat,Rødløg i meget små tern ca. 100 g,1,stk
Broccolisalat,Solsikkekerner,1,5,½dl
Broccolisalat,Rosiner,1,5,½dl
Syltede rødløg,Sukker ca. 1 dl,85,g
Syltede rødløg,Ufarvet lagereddike,1,dl
Syltede rødløg,Rødløg i tynde halve skiver ca. 150 g,2,stk
Syltede rødløg,Friskpresset citronsaft,1,spsk
Rabarbertærte med smuldredej,Rabarber i mindre stykker,500,g
Rabarbertærte med smuldredej,Kartoffelmel,0,5,½spsk
Rabarbertærte med smuldredej,Flormelis ca. 2 dl,100,g
Rabarbertærte med smuldredej,Havregryn,100,g
Rabarbertærte med smuldredej,Hvedemel,125,g
Rabarbertærte med smuldredej,Flormelis,0,75,¾dl
Rabarbertærte med smuldredej,Koldt smør,175,g
Rabarbertærte med smuldredej,Creme fraiche,0,25,¼liter
Den du ved nok,Sukker ca. 2½ dl,225,g
Den du ved nok,Hvedemel ca. 2½ dl,150,g
Den du ved nok,Kakaopulver ca. 1 dl,40,g
Den du ved nok,Bagepulver,1,5,½tsk
Den du ved nok,Groft salt,0,5,½tsk
Den du ved nok,Smør - smeltet,175,g
Den du ved nok,Mælk,2,dl
Den du ved nok,Æg,2,stk
Den du ved nok,Stærk kaffe,0,5,½dl
Den du ved nok,Smør,150,g
Den du ved nok,Flormelis ca. 4 dl,200,g
Den du ved nok,Kokosmel ca. 4¼ dl,150,g
Den du ved nok,Kakaopulver,3,spsk
Den du ved nok,Stærk kaffe,0,5,½dl
Rabarbercrumble,Rabarber i mindre stykker,500,g
Rabarbercrumble,Sukker ca. 1¼ dl,100,g
Rabarbercrumble,Vaniljesukker,1,tsk
Rabarbercrumble,Smør,150,g
Rabarbercrumble,Hvedemel ca. 3 dl,150,g
Rabarbercrumble,Havregryn,100,g
Rabarbercrumble,Sukker,3,spsk
Rabarbercrumble,Evt. spiselige blomster,0,stk
Rabarbercrumble,Creme fraiche eller piskefløde,2,5,½dl
Hvide asparges med brunet smør,Smør,75,g
Hvide asparges med brunet smør,Vand,0,5,½liter
Hvide asparges med brunet smør,Groft salt,0,5,½tsk
Hvide asparges med brunet smør,Skrællede hele hvide asparges,300,g
Hvide asparges med brunet smør,Salatost i tern,100,g
Hvide asparges med brunet smør,Grofthakkede ristede og smuttede mandler,50,g
Hvide asparges med brunet smør,Dildkviste,1,dl
Hvide asparges med brunet smør,Spiselige blomster fx blå hornvioler,1,dl
Kartoffelsalat med radiser og nye kartofler,Creme fraiche,4,dl
Kartoffelsalat med radiser og nye kartofler,Finthakket purløg,1,dl
Kartoffelsalat med radiser og nye kartofler,Finthakket frisk dild,1,dl
Kartoffelsalat med radiser og nye kartofler,Dijonsennep,2,tsk
Kartoffelsalat med radiser og nye kartofler,Friskpresset citronsaft,2,tsk
Kartoffelsalat med radiser og nye kartofler,Groft salt,2,tsk
Kartoffelsalat med radiser og nye kartofler,Friskkværnet peber,0,stk
Kartoffelsalat med radiser og nye kartofler,Små nye kartofler - kogte og afkølede,1,kg
Kartoffelsalat med radiser og nye kartofler,Radiser i tynde skiver,100,g
Kartoffelsalat med radiser og nye kartofler,Friskbælgede ærter,100,g
Kartoffelsalat med radiser og nye kartofler,Dildkviste og finthakket purløg,0,stk
Millionbøf,Smør,25,g
Millionbøf,Finthakkede løg ca. 300 g,4,stk
Millionbøf,Hakket oksekød ca. 6% fedt,400,g
Millionbøf,Oksebouillon,4,dl
Millionbøf,Laurbærblad,1,stk
Millionbøf,Groft salt,1,tsk
Millionbøf,Friskkværnet peber,0,stk
Millionbøf,Vand,1,dl
Millionbøf,Hvedemel,2,spsk
Millionbøf,Kulør,0,stk
Millionbøf,Skrællede melede kartofler,1,kg
Millionbøf,Vand,1,liter
Millionbøf,Smør,25,g
Millionbøf,Mælk,2,5,½dl
Millionbøf,Groft salt,1,tsk
Millionbøf,Agurk i meget tynde skiver ca. 300 g,1,stk
Millionbøf,Groft salt,0,5,½tsk
Millionbøf,Sukker,4,spsk
Millionbøf,Lagereddike,4,spsk
Millionbøf,Friskkværnet peber,0,stk
Millionbøf,Hakket bredbladet persille,0,stk
Spaghetti Carbonara,Bacon i tynde skiver,125,g
Spaghetti Carbonara,Madlavningsfløde eller piskefløde,0,25,¼liter
Spaghetti Carbonara,Groft salt,0,5,½tsk
Spaghetti Carbonara,Friskkværnet peber,0,5,½tsk
Spaghetti Carbonara,Æg ca. 1 dl,2,stk
Spaghetti Carbonara,Revet cheddar- og maasdammerost eller parmesan,150,g
Spaghetti Carbonara,Vand,3,liter
Spaghetti Carbonara,Groft salt,1,spsk
Spaghetti Carbonara,Tørret spaghetti,400,g
Vafler,Sukker,3,spsk
Vafler,Hvedemel ca. 5 dl,300,g
Vafler,Bagepulver,2,tsk
Vafler,Vaniljesukker,1,tsk
Vafler,Groft salt,1,tsk
Vafler,Fintrevet citronskal usprøjtet,1,spsk
Vafler,Mælk eller kærnemælk,3,dl
Vafler,Vand,2,dl
Vafler,Æg,3,stk
Vafler,Smør - smeltet,100,g
Vafler,Flormelis,0,stk
Vafler,Syltetøj,0,stk
Pizzadej,Gær,10,g
Pizzadej,Vand - lillefingervarmt,1,5,½dl
Pizzadej,Pizzamel fx Tipo 00,200,g
Pizzadej,Olivenolie,0,5,½spsk
Pizzadej,Sukker,0,25,¼tsk
Pizzadej,Groft salt,0,25,¼tsk
Tzatziki,Græsk yoghurt,0,5,½liter
Tzatziki,Knust fed hvidløg,2,stk
Tzatziki,Friskkværnet peber,0,stk
Tzatziki,Agurker ca. 750 g,3,stk
Tzatziki,Groft salt,1,tsk
Tzatziki,Olivenolie,0,5,½spsk
Tzatziki,Kalamataoliven - til pynt,0,stk
