Name,Link,RecipeType,TotalTimeMin,IsFreezable,Rating,ImageLink
Pandekager,https://www.arla.dk/opskrifter/pandekager/,Dessert,30,False,78,https://images.arla.com/recordid/9FD637FD-76C8-4114-9A0780F8A0CA21B8/pandekager.jpg
Kartoffelsalat,https://www.arla.dk/opskrifter/kold-kartoffelsalat/,Tilbehoer,60,False,72,https://cdn-rdb.arla.com/Files/arla-dk/4286252817/adaaef09-0d3b-445b-9f9d-32b9096ec77c.jpg
Hyldeblomstsaft,https://www.arla.dk/opskrifter/hyldeblomstsaft/,Unknown,30,False,88,https://images.arla.com/recordid/02EA1013-CDF2-456A-9991A52B202798DE/hyldeblomstsaft.jpg
Grøn kartoffelsalat,https://www.arla.dk/opskrifter/gron-kartoffelsalat/,Tilbehoer,45,False,88,https://images.arla.com/recordid/8AE616C0-5D59-4716-BD379E527DC09A30/gron-kartoffelsalat.jpg
Koldskål,https://www.arla.dk/opskrifter/koldskal/,Mellemmaaltid,15,False,80,https://images.arla.com/recordid/6DA8888C-ADBA-49D3-82F461E64C0C9B20/koldskal.jpg
Banankage,https://www.arla.dk/opskrifter/banankage/,Unknown,60,True,84,https://images.arla.com/recordid/CA92F1CA-D65F-4128-A0D63E2D9DF1690E/banankage.jpg
Nem chokoladekage i bradepande,https://www.arla.dk/opskrifter/nem-chokoladekage-i-bradepande/,Dessert,60,False,82,https://cdn-rdb.arla.com/Files/arla-dk/2347454435/6651a12a-c6d7-47ff-ba89-7b4f8e7dbbaa.jpg
Cookies,https://www.arla.dk/opskrifter/cookies/,Unknown,45,True,88,https://images.arla.com/recordid/5BF02738-8A2C-412D-99C7BBEE1C96F4AA/cookies.jpg
Snobrød,https://www.arla.dk/opskrifter/snobrod/,Unknown,60,False,76,https://images.arla.com/recordid/A1AA2353-5B07-4A06-A15E17EF5A706068/snobrod.jpg
Drømmekage fra Brovst,https://www.arla.dk/opskrifter/drommekage-fra-brovst/,Unknown,45,True,82,https://images.arla.com/recordid/c6c1f18f6dca46d4806da6e400fad604/drommekage-fra-brovst.jpg
Kylling i karry,https://www.arla.dk/opskrifter/kylling-i-karry/,Hovedret,45,False,82,https://images.arla.com/recordid/C96408DF-3A2C-454F-BFEF331A6CA63C30/kylling-i-karry.jpg
Focaccia brød,https://www.arla.dk/opskrifter/focaccia-brod/,Unknown,60,True,80,https://images.arla.com/recordid/753ADD0F-A6D3-407A-9BF24D9CBB498A40/focaccia-brod.jpg
Pølsehorn,https://www.arla.dk/opskrifter/polsehorn/,Mellemmaaltid,60,False,78,https://images.arla.com/recordid/1ab0838c6c7347f3ab9dabd000896320/polsehorn.jpg
Svensk pølseret,https://www.arla.dk/opskrifter/svensk-polseret/,Hovedret,30,False,82,https://cdn-rdb.arla.com/Files/arla-dk/304126225/45c5c3eb-ab7a-47be-aa15-040c05d9df6f.jpg
Pizzasnegle med skinke,https://www.arla.dk/opskrifter/pizzasnegle-med-skinke/,Frokost,60,True,76,https://cdn-rdb.arla.com/Files/arla-dk/2944811963/3254c4cf-9039-4aef-a44e-ad8701a9cc69.jpg
Rabarberkage,https://www.arla.dk/opskrifter/rabarberkage-i-bradepande/,Unknown,60,False,74,https://images.arla.com/recordid/5395297D-7B49-4B3D-B36E2D7E39E0660D/rabarberkage-i-bradepande.jpg
Hytteost-dip,https://www.arla.dk/opskrifter/hytteost-dip/,Tilbehoer,10,False,86,https://images.arla.com/recordid/F4BA4E03-59ED-411D-9A06FD359BF3D4E1/hytteost-dip.jpg
Persillesovs,https://www.arla.dk/opskrifter/persillesovs/,Tilbehoer,15,False,84,https://images.arla.com/recordid/B7AA8946-01AD-4472-8B394B2F36C07C75/persillesovs.jpg
Fødselsdagsboller,https://www.arla.dk/opskrifter/fodselsdagsboller/,Unknown,60,True,78,https://cdn-rdb.arla.com/Files/arla-dk/358083707/1724ee25-2378-445b-a518-884d72dcf176.jpg
Koldskål - laktosefri,https://www.arla.dk/opskrifter/koldskal---laktosefri/,Dessert,20,False,98,https://images.arla.com/recordid/5DE14E2D-B48B-4C88-885505EB7669F3D7/koldskal---laktosefri.jpg
Jordbærtærte,https://www.arla.dk/opskrifter/jordbartarte/,Dessert,60,False,78,https://cdn-rdb.arla.com/Files/arla-dk/4018012895/14931aec-336e-4d34-9c48-1dccd98da136.jpg
Jordbærkage,https://www.arla.dk/opskrifter/jordbarkage/,Unknown,60,False,80,https://cdn-rdb.arla.com/Files/arla-dk/4103692131/c157be31-35b6-473e-bde6-770e0c671150.jpg
Broccolisalat,https://www.arla.dk/opskrifter/broccolisalat/,Frokost,45,False,76,https://cdn-rdb.arla.com/Files/arla-dk/2761282397/856af7f9-ea72-481c-8ffa-4b98da5d12a2.jpg
Syltede rødløg,https://www.arla.dk/opskrifter/syltede-rodlog/,Tilbehoer,15,False,78,https://images.arla.com/recordid/A9E4AF6C-C812-43FB-9B6940CFECE26E28/syltede-rodlog.jpg
Rabarbertærte med smuldredej,https://www.arla.dk/opskrifter/rabarbertarte-med-smuldredej/,Dessert,60,False,74,https://cdn-rdb.arla.com/Files/arla-dk/363338122/fe42c204-ebb7-46dd-87b6-5faef351a0e2.jpg
Den du ved nok,https://www.arla.dk/opskrifter/den-du-ved-nok/,Unknown,45,True,74,https://cdn-rdb.arla.com/Files/arla-dk/2180732325/3a5ac280-545a-49da-b5e8-9ab537128e50.JPG
Rabarbercrumble,https://www.arla.dk/opskrifter/rabarber-crumble/,Dessert,45,False,76,https://images.arla.com/recordid/58FA14B0-5A5D-4EFC-B895542540BE1874/rabarber-crumble.jpg
Hvide asparges med brunet smør,https://www.arla.dk/opskrifter/hvide-asparges-med-brunet-smor/,Forret,0,False,88,https://images.arla.com/recordid/ECD63083-0D02-4D01-A6806F831862DA66/hvide-asparges-med-brunet-smor.jpg
