Name,Link,RecipeType,TotalTimeMin,IsFreezable,Rating,ImageLink,IngrediantsAmount
Pandekager,https://www.arla.dk/opskrifter/pandekager/,Dessert,30 MIN,False,width: 78%;,https://images.arla.com/recordid/9FD637FD-76C8-4114-9A0780F8A0CA21B8/pandekager.jpg,[(Hvedemel ca. 2½ dl,150 g),(Vaniljesukker,1 spsk),(Stødt kardemomme,1½ tsk),(Groft salt,½ tsk),(Citronskal usprøjtet - skal herfra,1),(Mælk,4 dl),(Smør,50 g),(Æg,3)]
Kartoffelsalat,https://www.arla.dk/opskrifter/kold-kartoffelsalat/,Tilbehør,1 TIME,False,width: 72%;,https://cdn-rdb.arla.com/Files/arla-dk/4286252817/adaaef09-0d3b-445b-9f9d-32b9096ec77c.jpg,[(Ymer eller tykmælk,2½ dl),(Creme fraiche,2½ dl),(Hakket frisk kruspersille,3 spsk),(Klippet frisk purløg,2 spsk),(Revet skalotteløg,2 spsk),(Sød fransk sennep,2 tsk),(Friskpresset citronsaft,1 tsk),(Groft salt,2 tsk),(Friskkværnet hvid peber,),(Små kogte faste kartofler,750 g),(Brøndkarse,)]
Hyldeblomstsaft,https://www.arla.dk/opskrifter/hyldeblomstsaft/,Uncategorized,30 MIN,False,width: 88%;,https://images.arla.com/recordid/02EA1013-CDF2-456A-9991A52B202798DE/hyldeblomstsaft.jpg,[(Vand,2 liter),(Sukker,1½ kg),(Hyldeblomstskærme,50),(Citroner usprøjtede,4),(Citronsyre,4 tsk)]
Grøn kartoffelsalat,https://www.arla.dk/opskrifter/gron-kartoffelsalat/,Tilbehør,45 MIN,False,width: 88%;,https://images.arla.com/recordid/8AE616C0-5D59-4716-BD379E527DC09A30/gron-kartoffelsalat.jpg,[(Fintsnittet purløg,1 dl),(Hakket persille,1 dl),(Hakket frisk dild,½ dl),(Hakkede estragonblade,½ dl),(Olivenolie,3 spsk),(Groft salt,1 tsk),(Friskkværnet peber,),(Kogte skrabede små nye kartofler,1 kg),(Salatost i tern,200 g),(Sorte oliven,50 g),(Syltede rødløg,1 spsk)]
Koldskål,https://www.arla.dk/opskrifter/koldskal/,Mellemmåltid  Dessert,15 MIN,False,width: 80%;,https://images.arla.com/recordid/6DA8888C-ADBA-49D3-82F461E64C0C9B20/koldskal.jpg,[(Æggeblommer ca. 2 spsk,2),(Sukker,3 spsk),(Vaniljestang - kornene heraf,½),(Friskpresset citronsaft,2 spsk),(Kærnemælk,½ liter),(Tykmælk,½ liter),(Kammerjunkere,)]
Banankage,https://www.arla.dk/opskrifter/banankage/,Uncategorized,60+ MIN,True,width: 84%;,https://images.arla.com/recordid/CA92F1CA-D65F-4128-A0D63E2D9DF1690E/banankage.jpg,[(Æg,3),(Sukker ca. 2 dl,170 g),(Vaniljesukker,2 tsk),(Hvedemel ca. 2 dl,125 g),(Bagepulver,1 tsk),(Smør - smeltet og afkølet,100 g),(Mosede bananer ca. 1½ dl,2),(Smeltet mørk chokolade,100 g),(Valnøddekerner,Evt. 50 g)]
Nem chokoladekage i bradepande,https://www.arla.dk/opskrifter/nem-chokoladekage-i-bradepande/,Dessert,60+ MIN,False,width: 82%;,https://cdn-rdb.arla.com/Files/arla-dk/2347454435/6651a12a-c6d7-47ff-ba89-7b4f8e7dbbaa.jpg,[(Sukker ca. 4 dl,350 g),(Hvedemel ca. 3 dl,175 g),(Kakaopulver,4 spsk),(Vaniljesukker,1 spsk),(Bagepulver,1 spsk),(Smør - smeltet,250 g),(Æg,3),(Kogende vand,2 dl),(Flormelis ca. 4 dl,200 g),(Vand,3 spsk),(Evt. kulørt krymmel og/eller spiseligt glimmer,)]
Cookies,https://www.arla.dk/opskrifter/cookies/,Uncategorized,45 MIN,True,width: 88%;,https://images.arla.com/recordid/5BF02738-8A2C-412D-99C7BBEE1C96F4AA/cookies.jpg,[(Blødt smør,150 g),(Sukker ca. 1½ dl,125 g),(Brun farin ca. 1½ dl,125 g),(Vaniljesukker,2 tsk),(Æg,1),(Hvedemel ca. 4½ dl,250 g),(Natron,1 tsk),(Groft salt,¾ tsk),(Bagepulver,½ tsk),(Grofthakket mørk chokolade eller chokoladeknapper,200 g)]
Snobrød,https://www.arla.dk/opskrifter/snobrod/,Uncategorized,60+ MIN,False,width: 76%;,https://images.arla.com/recordid/A1AA2353-5B07-4A06-A15E17EF5A706068/snobrod.jpg,[(Smør,25 g),(Mælk eller syrnet produkt fx tykmælk,¼ liter),(Gær,25 g),(Sukker,2 tsk),(Groft salt,¾ tsk),(Hvedemel ca. 6¾ dl,400 g),(Wienerpølser ketchup og sennep - eller syltetøj og sukker,)]
Drømmekage fra Brovst,https://www.arla.dk/opskrifter/drommekage-fra-brovst/,Uncategorized,45 MIN,True,width: 82%;,https://images.arla.com/recordid/c6c1f18f6dca46d4806da6e400fad604/drommekage-fra-brovst.jpg,[(Æg,4),(Sukker ca. 3½ dl,300 g),(Mælk,2 dl),(Smør,50 g),(Hvedemel ca. 4¼ dl,250 g),(Bagepulver,3 tsk),(Vaniljesukker,1 tsk),(Smør,100 g),(Kokosmel ca. 4¼ dl,150 g),(Brun farin ca. 3¾ dl,225 g),(Mælk,½ dl)]
Kylling i karry,https://www.arla.dk/opskrifter/kylling-i-karry/,Hovedret,45 MIN,False,width: 82%;,https://images.arla.com/recordid/C96408DF-3A2C-454F-BFEF331A6CA63C30/kylling-i-karry.jpg,[(Smør,25 g),(Karry,2 tsk),(Finthakkede løg,3),(Kyllingeinderfileter,300 g),(Grøntsager i mindre stykker fx blomkål gulerødder og forårsløg,400 g),(Hvedemel,2 spsk),(Grøntsagsbouillon,2½ dl),(Mælk,2 dl),(Groft salt,1½ tsk),(Friskkværnet peber,),(Æbler i tern fx elstar,2),(Kogte løse ris parboiled,)]
